Accession,Species,Genus,Geo_Location,Host,Family,Year
NC_027918,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,Kobuvirus,Japan,Bos taurus,Bovine,2015
MW296158,Ovine kobuvirus,Kobuvirus,China,Ovis aries,Ovine,2019
ON075053,Aichivirus B,Kobuvirus,China,Bos taurus,Bovine,2021
GU245693,Aichivirus B,Kobuvirus,Hungary,Ovis aries,Ovine,2009
MZ603734,Aichivirus B,Kobuvirus,China,Bos taurus,Bovine,2021
NC_004421,Aichivirus B,Kobuvirus,,Bos taurus,Bovine,
ON075052,Aichivirus B,Kobuvirus,China,Bos taurus,Bovine,2021
KT325852,Aichivirus E,Kobuvirus,Hungary,Oryctolagus cuniculus,Rabbit,2013
ON075054,Aichivirus B,Kobuvirus,China,Bos taurus,Bovine,2021
MN336260,Aichivirus B,Kobuvirus,USA,Bos taurus,Bovine,2019
ON075055,Aichivirus B,Kobuvirus,China,Bos taurus,Bovine,2021
MW605074,Aichivirus B,Kobuvirus,Canada,Bos taurus,Bovine,2020
ON075050,Aichivirus B,Kobuvirus,China,Bos taurus,Bovine,2021
KY407744,Aichivirus B,Kobuvirus,Egypt,Bos taurus,Bovine,2014
ON075056,Aichivirus B,Kobuvirus,China,Bos taurus,Bovine,2021
KF924623,Canine kobuvirus,Kobuvirus,South Korea,Canis lupus familiaris,Canine,2012
KM068048,Aichivirus A,Kobuvirus,Tanzania,Canis lupus familiaris,Canine,2003
KM068049,Aichivirus A,Kobuvirus,Tanzania,Canis adustus,Canine,2010
KM068050,Aichivirus A,Kobuvirus,Tanzania,Canis aureus,Canine,2011
KM068051,Aichivirus A,Kobuvirus,Tanzania,Crocuta crocuta,Hyaenidae,2010
MN337880,Canine kobuvirus,Kobuvirus,Germany,Vulpes vulpes,Canine,2016
MH747478,Canine kobuvirus,Kobuvirus,Brazil,Canis lupus familiaris,Canine,2016
NC_023422,Caprine kobuvirus,Kobuvirus,South Korea,Capra hircus,Caprine,2012
ON075051,Aichivirus B,Kobuvirus,China,Bos taurus,Bovine,2021
KJ958930,Aichivirus A,Kobuvirus,South Korea,Feliformia,Feline,2012
MK671314,Aichivirus A,Kobuvirus,China,Felis catus,Feline,2018
MK671315,Aichivirus A,Kobuvirus,China,Felis catus,Feline,2018
JN088541,Aichivirus A,Kobuvirus,USA,Canis lupus familiaris,Canine,2010
KY855436,Marmot kobuvirus,Kobuvirus,China,Marmota himalayana,Rodent,2013
AB040749,Aichivirus A,Kobuvirus,,Homo sapiens,Human,
MN116647,Aichivirus A,Kobuvirus,Hungary,Rattus norvegicus,Rodent,2018
DQ028632,Aichivirus A,Kobuvirus,Brazil,Homo sapiens,Human,
NC_001918,Aichivirus A,Kobuvirus,Japan,Homo sapiens,Human,
KJ934637,Aichivirus A,Kobuvirus,Hungary,Coracias garrulus,Avian,2011
FJ890523,Aichivirus A,Kobuvirus,China,Homo sapiens,Human,2008
MT125684,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2013
OM140655,Marmot kobuvirus,Kobuvirus,China,Marmota caudata,Rodent,2016
MT766372,Kobuvirus sp.,Kobuvirus,China,Homo sapiens,Human,2018
MT125685,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2018
JQ692069,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2011
MN449341,Canine kobuvirus,Kobuvirus,China,Canis lupus familiaris,Canine,2019
KM091960,Aichivirus A,Kobuvirus,Italy,Felis catus,Feline,2013
KF831027,Aichivirus A,Kobuvirus,South Korea,Feliformia,Feline,2011
NC_034971,Canine kobuvirus,Kobuvirus,China,Canis lupus familiaris,Canine,2015
JQ911763,Aichivirus A,Kobuvirus,China,Canis lupus familiaris,Canine,2011
KP144318,Aichivirus C,Kobuvirus,China,Sus scrofa domesticus,Porcine,2013
KC161964,Canine kobuvirus,Kobuvirus,United Kingdom,Canis lupus familiaris,Canine,2008
NC_016769,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2010
NC_011829,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,Porcine,2007
MK962320,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962321,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962322,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962323,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962324,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962325,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2018
MK962326,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962327,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962328,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962329,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962330,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962331,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962332,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962333,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962334,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
MK962335,Aichivirus C,Kobuvirus,Spain,Sus scrofa,Porcine,2017
KC414936,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2012
KC424638,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2012
JX177612,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,Porcine,2011
GU292559,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2010
GQ249161,Aichivirus C,Kobuvirus,Hungary,Sus scrofa,Porcine,2008
NC_015936,Mouse kobuvirus M-5/USA/2010,Kobuvirus,USA,Peromyscus crinitus,Rodent,2010
MZ334483,Aichivirus C,Kobuvirus,Germany,Sus scrofa,Porcine,2018
MF506730,Aichivirus C,Kobuvirus,USA,Sus scrofa,Porcine,2011
KM977675,Aichivirus C,Kobuvirus,USA,Sus scrofa,Porcine,2011
MT125682,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2013
KF539763,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2012
MT125683,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2013
KC204684,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2011
OK315318,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2020
KM051987,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2014
MN604700,Caprine kobuvirus,Kobuvirus,USA,,Caprine,2017
MF598159,Aichivirus A,Kobuvirus,China,Felis catus,Feline,2017
KJ452348,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2012
KY234499,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2015
JX401523,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2012
NC_027054,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2014
KC424639,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2012
KC424640,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2012
KY234500,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2015
KF695124,Aichivirus C,Kobuvirus,China,Sus scrofa,Porcine,2008
MT211964,Aichivirus C,Kobuvirus,Mexico,Sus scrofa,Porcine,2018
LC210621,Aichivirus C,Kobuvirus,Japan,Sus scrofa,Porcine,2014
MT584793,Caprine kobuvirus,Kobuvirus,China,Capra hircus,Caprine,2019
NC_027919,Aichivirus D,Kobuvirus,Japan,Bos taurus,Bovine,2014
LT898428,Aichivirus C,Kobuvirus,Germany,Sus scrofa,Porcine,2014
MN807751,Aichivirus C,Kobuvirus,Hungary,Sus scrofa domesticus,Porcine,2013
NC_026314,Rabovirus A,Rabovirus,Germany,Rattus norvegicus,Rodent,2011
OP287812,Bat Kobuvirus,Kobuvirus,Madagascar,Eidolon dupreanum,Bat,2018
MN602325,Shanbavirus A,Kobuvirus,Italy,Pipistrellus pipistrellus,Bat,2017
MF352427,Miniopterus picornavirus 2,Kobuvirus,China ,Miniopterus schreibersii,Bat,2012
