pointer,"NODE_4_length_8263_cov_106.105872:10927:{""NT"":[1836608,194960,12058,464095,-500,-600,-650,10239,""Viruses""],""NR"":[72149,194960,1"
54,35.0
55,35.0
56,34.0
57,34.0
58,34.0
59,34.0
60,34.0
61,34.0
62,34.0
63,34.0
64,35.0
65,35.0
66,36.0
67,37.0
68,37.0
69,37.0
70,38.0
71,38.0
72,38.0
73,39.0
74,40.0
75,39.0
76,40.0
77,39.0
78,40.0
79,39.0
80,39.0
81,38.0
82,38.0
83,38.0
84,38.0
85,37.0
86,37.0
87,37.0
88,38.0
89,38.0
90,38.0
91,39.0
92,39.0
93,39.0
94,39.0
95,39.0
96,40.0
97,41.0
98,41.0
99,41.0
100,42.0
101,41.0
102,41.0
103,40.0
104,40.0
105,41.0
106,41.0
107,40.0
108,40.0
109,40.0
110,41.0
111,41.0
112,41.0
113,41.0
114,42.0
115,41.0
116,41.0
117,41.0
118,40.0
119,41.0
120,41.0
121,41.0
122,41.0
123,41.0
124,41.0
125,41.0
126,41.0
127,40.0
128,39.0
129,40.0
130,41.0
131,42.0
132,42.0
133,43.0
134,43.0
135,44.0
136,44.0
137,43.0
138,43.0
139,43.0
140,42.0
141,41.0
142,42.0
143,43.0
144,43.0
145,43.0
146,44.0
147,45.0
148,44.0
149,44.0
150,43.0
151,44.0
152,45.0
153,45.0
154,45.0
155,46.0
156,47.0
157,47.0
158,47.0
159,47.0
160,47.0
161,47.0
162,46.0
163,46.0
164,45.0
165,45.0
166,44.0
167,43.0
168,43.0
169,42.0
170,41.0
171,41.0
172,40.0
173,39.0
174,38.0
175,38.0
176,37.0
177,37.0
178,36.0
179,36.0
180,36.0
181,36.0
182,35.0
183,35.0
184,35.0
185,35.0
186,35.0
187,35.0
188,34.0
189,33.0
190,33.0
191,32.0
192,32.0
193,31.0
194,31.0
195,31.0
196,30.0
197,28.999999999999996
198,28.999999999999996
199,28.999999999999996
200,28.000000000000004
201,28.000000000000004
202,28.000000000000004
203,28.000000000000004
204,27.0
205,26.0
206,26.0
207,26.0
208,25.0
209,24.0
210,23.0
211,23.0
212,23.0
213,23.0
214,22.0
215,22.0
216,21.0
217,21.0
218,21.0
219,20.0
220,19.0
221,19.0
222,19.0
223,19.0
224,19.0
225,19.0
226,19.0
227,19.0
228,19.0
229,18.0
230,17.0
231,16.0
232,16.0
233,15.0
234,15.0
235,14.000000000000002
236,13.0
237,13.0
238,12.0
239,11.0
240,11.0
241,11.0
242,10.0
243,9.0
244,8.0
245,7.000000000000001
246,6.0
247,5.0
248,5.0
249,5.0
250,5.0
251,4.0
252,3.0
253,3.0
254,2.0
255,1.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,1.0
321,1.0
322,2.0
323,3.0
324,3.0
325,3.0
326,3.0
327,3.0
328,3.0
329,4.0
330,4.0
331,5.0
332,6.0
333,6.0
334,6.0
335,7.000000000000001
336,7.000000000000001
337,8.0
338,8.0
339,8.0
340,8.0
341,8.0
342,9.0
343,9.0
344,9.0
345,9.0
346,10.0
347,11.0
348,12.0
349,13.0
350,14.000000000000002
351,14.000000000000002
352,14.000000000000002
353,14.000000000000002
354,15.0
355,15.0
356,15.0
357,16.0
358,16.0
359,17.0
360,17.0
361,18.0
362,19.0
363,20.0
364,20.0
365,21.0
366,21.0
367,21.0
368,21.0
369,21.0
370,22.0
371,23.0
372,23.0
373,23.0
374,23.0
375,24.0
376,25.0
377,25.0
378,25.0
379,26.0
380,27.0
381,28.000000000000004
382,28.000000000000004
383,28.999999999999996
