Position,Coverage
1,5.00
2,7.00
3,9.00
4,10.00
5,10.00
6,11.00
7,24.00
8,54.00
9,78.00
10,82.00
11,83.00
12,89.00
13,89.00
14,92.00
15,93.00
16,95.00
17,101.00
18,101.00
19,107.00
20,107.00
21,109.00
22,109.00
23,110.00
24,120.00
25,121.00
26,122.00
27,122.00
28,124.00
29,124.00
30,125.00
31,128.00
32,128.00
33,128.00
34,134.00
35,134.00
36,134.00
37,134.00
38,134.00
39,134.00
40,134.00
41,134.00
42,134.00
43,134.00
44,135.00
45,135.00
46,135.00
47,135.00
48,135.00
49,138.00
50,139.00
51,139.00
52,139.00
53,139.00
54,139.00
55,141.00
56,141.00
57,143.00
58,144.00
59,145.00
60,148.00
61,148.00
62,148.00
63,148.00
64,148.00
65,148.00
66,148.00
67,148.00
68,148.00
69,148.00
70,153.00
71,153.00
72,158.00
73,158.00
74,160.00
75,166.00
76,169.00
77,172.00
78,172.00
79,176.00
80,180.00
81,181.00
82,182.00
83,183.00
84,183.00
85,190.00
86,191.00
87,192.00
88,192.00
89,192.00
90,194.00
91,194.00
92,204.00
93,206.00
94,206.00
95,208.00
96,208.00
97,208.00
98,209.00
99,209.00
100,209.00
101,210.00
102,212.00
103,212.00
104,212.00
105,220.00
106,220.00
107,220.00
108,223.00
109,223.00
110,223.00
111,223.00
112,224.00
113,228.00
114,228.00
115,228.00
116,229.00
117,229.00
118,230.00
119,230.00
120,230.00
121,231.00
122,232.00
123,232.00
124,236.00
125,236.00
126,236.00
127,236.00
128,238.00
129,240.00
130,240.00
131,244.00
132,244.00
133,244.00
134,245.00
135,245.00
136,248.00
137,250.00
138,250.00
139,252.00
140,256.00
141,256.00
142,256.00
143,258.00
144,264.00
145,265.00
146,266.00
147,269.00
148,275.00
149,275.00
150,275.00
151,270.00
152,270.00
153,269.00
154,273.00
155,273.00
156,273.00
157,261.00
158,232.00
159,208.00
160,205.00
161,207.00
162,203.00
163,203.00
164,203.00
165,202.00
166,200.00
167,194.00
168,194.00
169,189.00
170,189.00
171,187.00
172,187.00
173,187.00
174,178.00
175,177.00
176,176.00
177,177.00
178,175.00
179,176.00
180,175.00
181,172.00
182,172.00
183,172.00
184,183.00
185,183.00
186,183.00
187,183.00
188,183.00
189,185.00
190,186.00
191,186.00
192,186.00
193,186.00
194,186.00
195,187.00
196,187.00
197,187.00
198,189.00
199,186.00
200,186.00
201,188.00
202,188.00
203,190.00
204,191.00
205,189.00
206,189.00
207,188.00
208,187.00
209,187.00
210,187.00
211,188.00
212,188.00
213,190.00
214,190.00
215,193.00
216,193.00
217,189.00
218,189.00
219,185.00
220,185.00
221,184.00
222,179.00
223,178.00
224,175.00
225,175.00
226,171.00
227,167.00
228,166.00
229,166.00
230,166.00
231,170.00
232,165.00
233,168.00
234,168.00
235,168.00
236,168.00
237,167.00
238,167.00
239,159.00
240,157.00
241,160.00
242,160.00
243,160.00
244,166.00
245,176.00
246,180.00
247,181.00
248,182.00
249,182.00
250,183.00
251,190.00
252,187.00
253,188.00
254,189.00
255,187.00
256,187.00
257,188.00
258,199.00
259,202.00
260,199.00
261,199.00
262,209.00
263,208.00
264,208.00
265,207.00
266,212.00
267,212.00
268,211.00
269,213.00
270,215.00
271,211.00
272,215.00
273,217.00
274,219.00
275,217.00
276,218.00
277,221.00
278,217.00
279,221.00
280,222.00
281,221.00
282,221.00
283,218.00
284,217.00
285,218.00
286,216.00
287,212.00
288,212.00
289,214.00
290,214.00
291,212.00
292,211.00
293,210.00
294,207.00
295,201.00
296,203.00
297,203.00
298,205.00
299,203.00
300,203.00
301,198.00
302,199.00
303,199.00
304,209.00
305,208.00
306,210.00
307,209.00
308,206.00
309,204.00
310,206.00
311,203.00
312,206.00
313,206.00
314,206.00
315,206.00
316,207.00
317,208.00
318,211.00
319,211.00
320,210.00
321,210.00
322,214.00
323,216.00
324,215.00
325,215.00
326,214.00
327,214.00
328,214.00
329,215.00
330,215.00
331,198.00
332,198.00
333,201.00
334,201.00
335,201.00
336,200.00
337,199.00
338,200.00
339,200.00
340,200.00
341,199.00
342,198.00
343,198.00
344,198.00
345,196.00
346,196.00
347,195.00
348,195.00
349,196.00
350,194.00
351,193.00
352,192.00
353,192.00
354,191.00
355,191.00
356,191.00
357,187.00
358,194.00
359,194.00
360,194.00
361,191.00
362,191.00
363,190.00
364,191.00
365,195.00
366,196.00
367,195.00
368,194.00
369,192.00
370,192.00
371,193.00
372,195.00
373,195.00
374,196.00
375,195.00
376,194.00
377,190.00
378,188.00
379,185.00
380,186.00
381,186.00
382,186.00
383,185.00
384,186.00
385,185.00
386,185.00
387,183.00
388,181.00
389,181.00
390,178.00
391,171.00
392,169.00
393,171.00
394,169.00
395,168.00
396,167.00
397,160.00
398,155.00
399,154.00
400,156.00
401,155.00
402,155.00
403,154.00
404,144.00
405,139.00
406,140.00
407,140.00
408,136.00
409,136.00
410,136.00
411,137.00
412,133.00
413,133.00
414,137.00
415,135.00
416,133.00
417,134.00
418,132.00
419,132.00
420,130.00
421,132.00
422,129.00
423,128.00
424,128.00
425,126.00
426,180.00
427,182.00
428,187.00
429,191.00
430,194.00
431,197.00
432,197.00
433,198.00
434,200.00
435,200.00
436,198.00
437,194.00
438,196.00
439,199.00
440,199.00
441,199.00
442,197.00
443,198.00
444,197.00
445,197.00
446,197.00
447,198.00
448,200.00
449,199.00
450,188.00
451,188.00
452,187.00
453,187.00
454,187.00
455,197.00
456,196.00
457,196.00
458,193.00
459,194.00
460,195.00
461,195.00
462,194.00
463,194.00
464,193.00
465,194.00
466,196.00
467,196.00
468,193.00
469,191.00
470,192.00
471,192.00
472,193.00
473,193.00
474,193.00
475,192.00
476,192.00
477,192.00
478,192.00
479,190.00
480,190.00
481,190.00
482,190.00
483,192.00
484,192.00
485,192.00
486,192.00
487,192.00
488,192.00
489,192.00
490,192.00
491,192.00
492,192.00
493,192.00
494,191.00
495,190.00
496,190.00
497,191.00
498,194.00
499,195.00
500,196.00
501,197.00
502,200.00
503,202.00
504,195.00
505,194.00
506,194.00
507,195.00
508,196.00
509,197.00
510,198.00
511,194.00
512,193.00
513,193.00
514,195.00
515,195.00
516,195.00
517,196.00
518,198.00
519,200.00
520,201.00
521,202.00
522,207.00
523,209.00
524,209.00
525,210.00
526,208.00
527,209.00
528,217.00
529,218.00
530,226.00
531,226.00
532,226.00
533,225.00
534,232.00
535,234.00
536,231.00
537,229.00
538,227.00
539,224.00
540,227.00
541,228.00
542,228.00
543,233.00
544,236.00
545,236.00
546,233.00
547,233.00
548,234.00
549,235.00
550,234.00
551,235.00
552,235.00
553,237.00
554,234.00
555,236.00
556,236.00
557,235.00
558,234.00
559,234.00
560,230.00
561,236.00
562,239.00
563,239.00
564,239.00
565,237.00
566,237.00
567,235.00
568,236.00
569,234.00
570,236.00
571,235.00
572,181.00
573,182.00
574,177.00
575,174.00
576,170.00
577,168.00
578,169.00
579,171.00
580,182.00
581,195.00
582,196.00
583,203.00
584,204.00
585,202.00
586,204.00
587,211.00
588,212.00
589,211.00
590,212.00
591,213.00
592,212.00
593,211.00
594,210.00
595,210.00
596,210.00
597,210.00
598,210.00
599,210.00
600,210.00
601,210.00
602,210.00
603,210.00
604,210.00
605,211.00
606,213.00
607,214.00
608,214.00
609,214.00
610,214.00
611,212.00
612,211.00
613,215.00
614,215.00
615,215.00
616,215.00
617,215.00
618,214.00
619,215.00
620,213.00
621,213.00
622,213.00
623,217.00
624,216.00
625,216.00
626,215.00
627,216.00
628,215.00
629,215.00
630,215.00
631,220.00
632,221.00
633,221.00
634,222.00
635,222.00
636,222.00
637,222.00
638,221.00
639,220.00
640,219.00
641,220.00
642,221.00
643,222.00
644,223.00
645,224.00
646,225.00
647,225.00
648,225.00
649,225.00
650,224.00
651,227.00
652,228.00
653,227.00
654,224.00
655,223.00
656,223.00
657,226.00
658,224.00
659,222.00
660,222.00
661,223.00
662,223.00
663,223.00
664,222.00
665,222.00
666,223.00
667,222.00
668,222.00
669,222.00
670,228.00
671,228.00
672,228.00
673,226.00
674,223.00
675,222.00
676,220.00
677,221.00
678,216.00
679,215.00
680,220.00
681,218.00
682,221.00
683,221.00
684,216.00
685,221.00
686,214.00
687,215.00
688,216.00
689,219.00
690,214.00
691,215.00
692,215.00
693,216.00
694,250.00
695,251.00
696,253.00
697,252.00
698,256.00
699,269.00
700,267.00
701,278.00
702,280.00
703,280.00
704,279.00
705,280.00
706,280.00
707,279.00
708,279.00
709,280.00
710,277.00
711,279.00
712,278.00
713,281.00
714,281.00
715,281.00
716,283.00
717,283.00
718,287.00
719,280.00
720,277.00
721,277.00
722,276.00
723,274.00
724,274.00
725,279.00
726,285.00
727,284.00
728,288.00
729,286.00
730,286.00
731,286.00
732,286.00
733,291.00
734,291.00
735,290.00
736,290.00
737,295.00
738,301.00
739,304.00
740,302.00
741,302.00
742,305.00
743,305.00
744,304.00
745,312.00
746,298.00
747,283.00
748,284.00
749,279.00
750,277.00
751,276.00
752,278.00
753,280.00
754,289.00
755,289.00
756,288.00
757,287.00
758,287.00
759,287.00
760,285.00
761,287.00
762,285.00
763,289.00
764,288.00
765,289.00
766,289.00
767,281.00
768,287.00
769,283.00
770,286.00
771,286.00
772,285.00
773,285.00
774,285.00
775,286.00
776,286.00
777,285.00
778,283.00
779,280.00
780,280.00
781,281.00
782,282.00
783,281.00
784,281.00
785,281.00
786,281.00
787,281.00
788,281.00
789,284.00
790,286.00
791,286.00
792,290.00
793,289.00
794,289.00
795,288.00
796,288.00
797,289.00
798,289.00
799,289.00
800,290.00
801,290.00
802,289.00
803,290.00
804,291.00
805,292.00
806,291.00
807,290.00
808,290.00
809,290.00
810,292.00
811,292.00
812,289.00
813,289.00
814,288.00
815,288.00
816,288.00
817,287.00
818,283.00
819,282.00
820,282.00
821,285.00
822,283.00
823,283.00
824,282.00
825,282.00
826,281.00
827,278.00
828,280.00
829,280.00
830,281.00
831,274.00
832,274.00
833,274.00
834,275.00
835,274.00
836,275.00
837,276.00
838,282.00
839,285.00
840,284.00
841,279.00
842,281.00
843,280.00
844,283.00
845,281.00
846,277.00
847,276.00
848,275.00
849,277.00
850,277.00
851,275.00
852,272.00
853,275.00
854,273.00
855,242.00
856,242.00
857,239.00
858,238.00
859,236.00
860,218.00
861,223.00
862,211.00
863,211.00
864,211.00
865,215.00
866,215.00
867,218.00
868,222.00
869,227.00
870,228.00
871,228.00
872,230.00
873,227.00
874,228.00
875,227.00
876,230.00
877,228.00
878,228.00
879,227.00
880,227.00
881,228.00
882,228.00
883,237.00
884,233.00
885,234.00
886,229.00
887,230.00
888,231.00
889,229.00
890,221.00
891,222.00
892,224.00
893,227.00
894,226.00
895,241.00
896,230.00
897,230.00
898,230.00
899,228.00
900,226.00
901,226.00
902,229.00
903,229.00
904,221.00
905,211.00
906,211.00
907,213.00
908,213.00
909,217.00
910,217.00
911,217.00
912,217.00
913,217.00
914,214.00
915,214.00
916,214.00
917,217.00
918,217.00
919,213.00
920,213.00
921,210.00
922,209.00
923,209.00
924,210.00
925,210.00
926,207.00
927,207.00
928,208.00
929,208.00
930,207.00
931,207.00
932,207.00
933,212.00
934,213.00
935,210.00
936,208.00
937,210.00
938,201.00
939,201.00
940,201.00
941,202.00
942,203.00
943,211.00
944,211.00
945,211.00
946,209.00
947,209.00
948,209.00
949,212.00
950,210.00
951,215.00
952,215.00
953,215.00
954,215.00
955,215.00
956,213.00
957,213.00
958,214.00
959,214.00
960,214.00
961,216.00
962,216.00
963,216.00
964,217.00
965,218.00
966,218.00
967,215.00
968,216.00
969,216.00
970,217.00
971,217.00
972,218.00
973,218.00
974,216.00
975,216.00
976,216.00
977,216.00
978,216.00
979,218.00
980,217.00
981,217.00
982,217.00
983,217.00
984,216.00
985,220.00
986,220.00
987,219.00
988,211.00
989,208.00
990,210.00
991,210.00
992,212.00
993,211.00
994,208.00
995,208.00
996,211.00
997,210.00
998,210.00
999,210.00
1000,210.00
1001,210.00
1002,210.00
1003,210.00
1004,210.00
1005,210.00
1006,210.00
1007,211.00
1008,208.00
1009,205.00
1010,211.00
1011,214.00
1012,214.00
1013,214.00
1014,211.00
1015,210.00
1016,208.00
1017,212.00
1018,212.00
1019,213.00
1020,207.00
1021,207.00
1022,208.00
1023,208.00
1024,206.00
1025,206.00
1026,203.00
1027,199.00
1028,193.00
1029,196.00
1030,197.00
1031,196.00
1032,198.00
1033,197.00
1034,196.00
1035,194.00
1036,192.00
1037,192.00
1038,193.00
1039,193.00
