pointer,KJ934637,NC_001918
49,36,39.08045977
50,36,39.53488372
51,36,39.53488372
52,36,39.53488372
53,36,39.53488372
54,36,39.53488372
55,36,40
56,36,40.47619048
57,36,40.96385542
58,36,41.46341463
59,36,41.97530864
60,36,42.5
61,36,43.03797468
62,36,43.58974359
63,36,43.58974359
64,37,44.87179487
65,38,46.15384615
66,38,46.15384615
67,38,46.15384615
68,38,47.43589744
69,38,47.43589744
70,39,48.71794872
71,40,50
72,40,51.28205128
73,40,51.28205128
74,40,51.28205128
75,39,51.28205128
76,40,51.28205128
77,41,52.56410256
78,42,53.84615385
79,42,53.84615385
80,41,52.56410256
81,40,51.28205128
82,40,52.56410256
83,39,51.28205128
84,39.39393939,51.28205128
85,39.79591837,51.28205128
86,39.17525773,50
87,39.58333333,50
88,40,50
89,38.94736842,48.71794872
90,37.89473684,47.43589744
91,37.89473684,48.71794872
92,37.89473684,48.71794872
93,36.84210526,48.71794872
94,36.84210526,48.71794872
95,36.84210526,50
96,35.78947368,48.71794872
97,34.73684211,47.43589744
98,34.73684211,47.43589744
99,34.73684211,48.71794872
100,34.73684211,48.71794872
101,35.78947368,50
102,34.73684211,48.71794872
103,35.78947368,50
104,35.78947368,50
105,35.78947368,50
106,35.78947368,51.28205128
107,35.78947368,51.28205128
108,35.78947368,51.28205128
109,35.78947368,51.28205128
110,34.73684211,50
111,33.68421053,48.71794872
112,33.68421053,48.71794872
113,33.68421053,48.71794872
114,32.63157895,47.43589744
115,33.68421053,48.71794872
116,33.68421053,47.43589744
117,34.73684211,48.71794872
118,34.73684211,48.71794872
119,35.78947368,50
120,36.84210526,51.28205128
121,37.89473684,51.28205128
122,37.89473684,50
123,36.84210526,50
124,36.84210526,51.28205128
125,36.84210526,51.28205128
126,36.84210526,51.94805195
127,35.78947368,51.31578947
128,34.73684211,50.66666667
129,34.73684211,52
130,34.73684211,52
131,33.68421053,52
132,32.63157895,50.66666667
133,31.57894737,49.33333333
134,30.52631579,49.33333333
135,29.47368421,48
136,29.47368421,48
137,29.47368421,48
138,29.47368421,46.66666667
139,29.47368421,45.33333333
140,30.52631579,46.66666667
141,30.52631579,47.36842105
142,30.52631579,48.05194805
143,31.57894737,47.43589744
144,31.57894737,46.83544304
145,31.57894737,46.25
146,32.63157895,46.91358025
147,32.63157895,46.34146341
148,33.68421053,46.98795181
149,34.73684211,47.61904762
150,34.73684211,47.05882353
151,35.78947368,47.6744186
152,36.84210526,48.27586207
153,37.89473684,48.86363636
154,38.94736842,49.43820225
155,40,50
156,40,49.45054945
157,41.05263158,50
158,41.05263158,49.46236559
159,41.05263158,48.93617021
160,42.10526316,49.47368421
161,43.15789474,50
162,44.21052632,49.48453608
163,44.21052632,49.48453608
