pointer,Rousettus_madagascariensis_MIZ240,NC_048212_1_Eidolon_helvum_Cameroon,NC_009021_1_HKU9_Rousettus_leschenaulti_China
49,36.36363636363637,39.0,42.0
50,36.36363636363637,39.0,41.0
51,37.37373737373738,40.0,42.0
52,38.38383838383838,41.0,42.0
53,38.38383838383838,41.0,42.0
54,39.39393939393939,42.0,42.0
55,39.39393939393939,42.0,42.0
56,38.38383838383838,42.0,42.0
57,39.39393939393939,43.0,43.0
58,38.38383838383838,42.0,42.0
59,38.38383838383838,42.0,42.0
60,39.39393939393939,43.0,43.0
61,40.4040404040404,44.0,44.0
62,40.4040404040404,44.0,44.0
63,41.41414141414141,45.0,45.0
64,41.41414141414141,45.0,45.0
65,41.41414141414141,44.0,45.0
66,41.41414141414141,43.0,45.0
67,42.42424242424242,44.0,45.0
68,42.42424242424242,44.0,45.0
69,42.42424242424242,44.0,45.0
70,43.43434343434344,45.0,46.0
71,43.43434343434344,44.0,46.0
72,42.42424242424242,43.0,45.0
73,42.42424242424242,43.0,46.0
74,41.41414141414141,43.0,46.0
75,41.41414141414141,44.0,46.0
76,41.41414141414141,44.0,46.0
77,40.4040404040404,43.0,45.0
78,41.41414141414141,43.0,46.0
79,42.42424242424242,44.0,46.0
80,42.42424242424242,44.0,46.0
81,42.42424242424242,44.0,46.0
82,43.43434343434344,45.0,46.0
83,44.44444444444444,46.0,47.0
84,44.44444444444444,46.0,47.0
85,43.43434343434344,45.0,46.0
86,43.43434343434344,45.0,46.0
87,42.42424242424242,44.0,45.0
88,41.41414141414141,43.0,44.0
89,41.41414141414141,43.0,45.0
90,40.4040404040404,43.0,45.0
91,41.41414141414141,43.0,45.0
92,40.4040404040404,43.0,45.0
93,40.4040404040404,43.0,45.0
94,41.41414141414141,44.0,46.0
95,40.4040404040404,43.0,46.0
96,39.39393939393939,42.0,45.0
97,40.4040404040404,43.0,45.0
98,39.39393939393939,42.0,45.0
99,39.39393939393939,42.0,44.0
100,39.39393939393939,41.0,43.0
101,38.38383838383838,40.0,42.0
102,37.37373737373738,39.0,41.0
103,36.36363636363637,38.0,40.4040404040404
104,36.36363636363637,38.0,39.39393939393939
105,35.35353535353536,37.0,38.38383838383838
106,34.69387755102041,36.36363636363637,37.37373737373738
107,34.02061855670103,35.714285714285715,36.36363636363637
108,34.02061855670103,35.714285714285715,36.36363636363637
109,34.02061855670103,35.714285714285715,35.35353535353536
110,32.98969072164948,35.714285714285715,34.34343434343434
111,32.98969072164948,35.714285714285715,35.35353535353536
112,32.98969072164948,35.714285714285715,35.35353535353536
113,32.98969072164948,35.714285714285715,35.35353535353536
114,32.98969072164948,35.714285714285715,35.35353535353536
115,31.958762886597935,34.69387755102041,35.35353535353536
116,31.958762886597935,34.69387755102041,35.35353535353536
117,30.927835051546392,33.6734693877551,35.35353535353536
118,30.927835051546392,33.6734693877551,35.35353535353536
119,29.896907216494846,32.6530612244898,34.34343434343434
120,29.896907216494846,32.6530612244898,33.33333333333333
121,28.865979381443296,31.63265306122449,32.323232323232325
122,27.835051546391753,31.63265306122449,31.313131313131315
123,27.835051546391753,31.63265306122449,31.313131313131315
124,27.835051546391753,31.63265306122449,31.313131313131315
125,28.865979381443296,31.63265306122449,32.323232323232325
126,29.896907216494846,32.6530612244898,33.33333333333333
127,30.927835051546392,33.6734693877551,34.34343434343434
128,30.927835051546392,33.6734693877551,34.34343434343434
129,30.927835051546392,33.6734693877551,34.34343434343434
130,30.927835051546392,32.6530612244898,34.34343434343434
131,31.958762886597935,33.6734693877551,34.34343434343434
132,31.958762886597935,33.6734693877551,34.34343434343434
133,32.98969072164948,34.69387755102041,35.35353535353536
134,34.02061855670103,35.714285714285715,36.36363636363637
135,34.02061855670103,35.714285714285715,36.36363636363637
136,34.69387755102041,36.734693877551024,37.37373737373738
137,35.714285714285715,36.734693877551024,37.37373737373738
138,34.69387755102041,35.714285714285715,36.36363636363637
139,34.69387755102041,35.714285714285715,36.36363636363637
140,34.69387755102041,35.714285714285715,35.35353535353536
141,34.69387755102041,35.714285714285715,35.35353535353536
142,33.6734693877551,34.69387755102041,34.34343434343434
143,34.69387755102041,35.714285714285715,35.35353535353536
144,35.714285714285715,35.714285714285715,34.34343434343434
145,35.714285714285715,35.714285714285715,35.35353535353536
146,35.714285714285715,34.69387755102041,34.34343434343434
147,35.714285714285715,34.69387755102041,34.34343434343434
148,35.714285714285715,34.69387755102041,33.33333333333333
149,34.69387755102041,33.6734693877551,32.323232323232325
150,34.69387755102041,33.6734693877551,33.33333333333333
151,33.6734693877551,32.6530612244898,32.323232323232325
152,33.6734693877551,32.6530612244898,32.323232323232325
153,33.6734693877551,32.6530612244898,32.323232323232325
154,33.6734693877551,31.63265306122449,31.313131313131315
155,33.6734693877551,31.63265306122449,31.313131313131315
